sID,sentence,top_label,label,class_name,sentence_ru
2485,the amount of bills.,Financial Problem,5,finance,сумма купюр.
2486,The amount of shifts I have to cover at work due to people calling out.,Work,1,work,"Количество смен, которые мне приходится отработать на работе из-за звонков людей."
2487,the amount of things i own that are breakingdown,Other,6,unknown,"количество вещей, которые у меня есть, которые ломаются"
2488,the amount of work being piled on me,Work,1,work,"объем работы, который наваливается на меня"
2489,The amount of work due to remote learning is taking a toll on me.,School,1,work,Объем работы из-за дистанционного обучения сказывается на мне.
2490,the amount of work i have to do for grad school,School,1,work,"объем работы, которую мне нужно сделать для поступления в аспирантуру"
2491,the amount of work i have to do in nursing school and hospital clinicals,Work,1,work,"объем работы, которую мне приходится выполнять в школе медсестер и клиниках больниц"
2492,the amount of work i have.,Work,1,work,"объем работы, который у меня есть."
2493,the amount of work my supervisor assigned me,Work,1,work,"объем работы, который поручил мне мой руководитель"
2494,The cats and their behavioral issues have been stressful.,Other,6,unknown,Кошки и их поведенческие проблемы вызвали стресс.
2495,the conoravisrus making me loose my job,Work,1,work,из-за коноравируса я потерял работу
2496,the constant schedule change at my job.,Work,1,work,постоянное изменение графика на моей работе.
2497,The conversion of in person to online classes,School,1,work,Переход от очных занятий к онлайн-занятиям
2498,the corona virus,Other,6,unknown,коронавирус
2499,"the corona virus , and the response of the governments and people",Other,6,unknown,вирус короны и реакция правительств и людей
2500,The corona virus affecting my family in a negative way.,Family Issues,2,family,Вирус короны негативно повлиял на мою семью.
2501,the corona virus and it spreading,"Health, Fatigue, or Physical Pain",3,health,вирус короны и его распространение
2502,The corona virus and quarantine,Other,6,unknown,Вирус короны и карантин
2503,The corona virus and social-distancing situation has been stressing me out.,"Health, Fatigue, or Physical Pain",3,health,Вирус короны и ситуация с социальным дистанцированием вызывают у меня стресс.
2504,The corona virus has been stressing me out.,"Health, Fatigue, or Physical Pain",3,health,Вирус короны вызвал у меня стресс.
2505,The corona virus has been stressing me out.  It has affected our business.,Work,1,work,Вирус короны вызвал у меня стресс.  Это повлияло на наш бизнес.
2506,the corona virus has me feeling very isolated and anxious!,Other,6,unknown,Из-за вируса короны я чувствую себя очень изолированным и тревожным!
2507,The Corona virus here in Washington is very stressful.,"Health, Fatigue, or Physical Pain",3,health,"Вирус Короны здесь, в Вашингтоне, вызывает большой стресс."
2508,The corona virus is really stressing me out with the sheltering in place.,"Health, Fatigue, or Physical Pain",3,health,Вирус короны очень напрягает меня из-за укрытия.
2509,The corona virus is really stressing me out!,"Health, Fatigue, or Physical Pain",3,health,Вирус короны меня очень напрягает!
2510,The corona virus is stressing me out!,"Health, Fatigue, or Physical Pain",3,health,Короновирус вызывает у меня стресс!
2511,"The corona virus outbreak, the uncertainty of it all is overwhelming sometimes.","Health, Fatigue, or Physical Pain",3,health,"Вспышка вируса короны, неопределенность во всем этом иногда ошеломляет."
2512,The corona virus pandemic and uncertainty anout my future as a result.,Emotional Turmoil,6,unknown,"Пандемия коронирусного вируса и неопределенность в отношении моего будущего, как следствие."
2513,The corona virus pandemic has been stressing me out.,"Health, Fatigue, or Physical Pain",3,health,Пандемия короновируса вызвала у меня стресс.
2514,"The Corona Virus, this is a scary thing.","Health, Fatigue, or Physical Pain",3,health,"Коронавирус, это страшная вещь."
2515,the coronavirus,"Health, Fatigue, or Physical Pain",3,health,коронавирус
2516,The coronavirus,"Health, Fatigue, or Physical Pain",3,health,Коронавирус
2517,The coronavirus affecting the whole country.,Other,6,unknown,Коронавирус затронул всю страну.
2518,The coronavirus and all its effecs,Emotional Turmoil,6,unknown,Коронавирус и все его последствия
2519,The coronavirus and everyone's panicked behavior,"Health, Fatigue, or Physical Pain",3,health,Коронавирус и паническое поведение каждого
2520,The coronavirus and how its impacted businesses and the economy,Financial Problem,5,finance,Коронавирус и его влияние на бизнес и экономику
2521,The Coronavirus and safety of my family,Family Issues,2,family,Коронавирус и безопасность моей семьи
2522,The Coronavirus and staying home,"Health, Fatigue, or Physical Pain",3,health,Коронавирус и пребывание дома
2523,The coronavirus and the state of the world. Also my job.,Work,1,work,Коронавирус и состояние мира. Также моя работа.
2524,The coronavirus epidemic is frightening me and causing intense worry to me and my family,Family Issues,2,family,Эпидемия коронавируса пугает меня и вызывает сильное беспокойство у меня и моей семьи.
2525,The Coronavirus has been really stressful.,"Health, Fatigue, or Physical Pain",3,health,Коронавирус вызвал настоящий стресс.
2526,The coronavirus has been stressful to me and I am worried about my family.,Family Issues,2,family,"Коронавирус вызвал у меня стресс, и я беспокоюсь о своей семье."
2527,The coronavirus has been stressing me out,"Health, Fatigue, or Physical Pain",3,health,Коронавирус вызвал у меня стресс
2528,The coronavirus has been stressing me out because if things get shut down completely i w,Emotional Turmoil,6,unknown,"Коронавирус вызывает у меня стресс, потому что, если все полностью закроют, я буду"
2529,The coronavirus has been stressing me out.,"Health, Fatigue, or Physical Pain",3,health,Коронавирус вызвал у меня стресс.
2530,the coronavirus has everyone on lockdown,Other,6,unknown,Коронавирус держит всех на карантине
2531,The Coronavirus has got me scared for older people in my life.,"Health, Fatigue, or Physical Pain",3,health,Коронавирус заставил меня бояться пожилых людей в моей жизни.
2532,"The coronavirus is in our town, just got a letter saying a teacher had it!","Health, Fatigue, or Physical Pain",3,health,"Коронавирус в нашем городе, только что пришло письмо о том, что он заболел у учителя!"
2533,The coronavirus is stressing me out,Other,6,unknown,Коронавирус вызывает у меня стресс
2534,The Coronavirus is stressing me out! The kids have lost their minds.,Family Issues,2,family,Коронавирус меня напрягает! Дети сошли с ума.
2535,The Coronavirus madness! How long will everything be shut down?,Other,6,unknown,Коронавирусное безумие! Как долго все будет закрыто?
2536,The coronavirus pandemic,Emotional Turmoil,6,unknown,Пандемия коронавируса
2537,The Coronavirus pandemic and what it's going to do to the Economy.,Financial Problem,5,finance,Пандемия коронавируса и ее влияние на экономику.
2538,the coronavirus pandemic happening right now,"Health, Fatigue, or Physical Pain",3,health,пандемия коронавируса происходит прямо сейчас
2539,The coronavirus pandemic has been really giving me a lot of stress and anxiety.,"Health, Fatigue, or Physical Pain",3,health,Пандемия коронавируса действительно доставила мне много стресса и беспокойства.
2540,The coronavirus pandemic is stresing me out! How about you?,Emotional Turmoil,6,unknown,Пандемия коронавируса меня напрягает! А ты?
2541,The coronavirus pandemic is taking a toll on me financially.,Financial Problem,5,finance,Пандемия коронавируса наносит мне финансовый ущерб.
2542,The coronavirus pandemic making me stay home!,Emotional Turmoil,6,unknown,Пандемия коронавируса заставляет меня оставаться дома!
2543,The coronavirus shutting down sports,Social Relationships,4,friends,Коронавирус останавливает спорт
2544,The coronavirus situation as it relates to my health and finances,"Health, Fatigue, or Physical Pain",3,health,Ситуация с коронавирусом в отношении моего здоровья и финансов
2545,The Coronavirus situation is currently stressing me out.,Emotional Turmoil,6,unknown,Ситуация с коронавирусом меня сейчас напрягает.
2546,the coronavirus situation taking away my gigs,Work,1,work,ситуация с коронавирусом отменяет мои выступления
2547,The coronavirus.  I had to move DJ into my house to help me deal.,"Health, Fatigue, or Physical Pain",3,health,"Коронавирус.  Мне пришлось переселить диджея в свой дом, чтобы он помог мне разобраться."
2548,The coronavirus. I think people should be more aware and better prepared.,Everyday Decision Making,6,unknown,"Коронавирус. Я думаю, что люди должны быть более осведомлены и лучше подготовлены."
2549,the corono virus - wanting to leave the house but don't want to die,"Health, Fatigue, or Physical Pain",3,health,"короновирус – хочу выйти из дома, но не хочу умирать"
2550,The coronoavirus situation is getting worse around here. The first death  happened.,"Health, Fatigue, or Physical Pain",3,health,Ситуация с короновирусом здесь ухудшается. Произошла первая смерть.
2551,The corovirus outbreak is really stressing me out,Emotional Turmoil,6,unknown,Вспышка короновируса меня очень напрягает.
2552,the cost of my daughter's wedding.,Financial Problem,5,finance,стоимость свадьбы моей дочери.
2553,The COV-19 virus is definitely scaring me.,"Health, Fatigue, or Physical Pain",3,health,Вирус COV-19 меня определенно пугает.
2554,The Cover pandemic has been stressing me out,"Health, Fatigue, or Physical Pain",3,health,Пандемия обложки меня напрягла
2555,The COVID 19 and my job loss,Work,1,work,COVID 19 и моя потеря работы
2556,"The covid 19 crisis, is stressing me out. I dont know how we are going to make it thru",Emotional Turmoil,6,unknown,"Кризис Covid 19 меня напрягает. Я не знаю, как мы справимся"
2557,"The COVID issue.  It's stressing me out, it's so difficult to think about anything else.","Health, Fatigue, or Physical Pain",3,health,"Проблема COVID.  Меня это напрягает, мне так трудно думать о чем-то другом."
2558,The COVID-19 has made our sales at the cafe very low.,Work,1,work,Из-за COVID-19 наши продажи в кафе очень упали.
2559,The COVID-19 has presented a stressful situation for me recently.,"Health, Fatigue, or Physical Pain",3,health,В последнее время Covid-19 стал для меня стрессовой ситуацией.
2560,The COVID-19 having us all in at home all the time with no outside activities happening.,Emotional Turmoil,6,unknown,"Из-за COVID-19 мы все постоянно находимся дома, без каких-либо посторонних занятий."
2561,The COVID-19 mess has been stressing me out.,Emotional Turmoil,6,unknown,Беспорядок с Covid-19 меня напрягает.
2562,The Covid-19 pandemic,Financial Problem,5,finance,Пандемия Covid-19
2563,The COVID-19 pandemic and not working because of it.,Financial Problem,5,finance,Пандемия COVID-19 и отсутствие работы из-за нее.
2564,The COVID-19 Pandemic conditions seem to be worsening.,Other,6,unknown,"Условия пандемии COVID-19, похоже, ухудшаются."
2565,The COVID-19 pandemic is really stressing me out. My state should do a full lockdown.,"Health, Fatigue, or Physical Pain",3,health,Пандемия COVID-19 меня очень напрягает. Моему штату следует ввести полную изоляцию.
2566,The Covid-19 pandemic. I think a man who lives across the hall from me might have it.,"Health, Fatigue, or Physical Pain",3,health,"Пандемия Covid-19. Я думаю, он может быть у человека, который живет через холл от меня."
2567,the covid-19 pandimic,"Health, Fatigue, or Physical Pain",3,health,пандемия Covid-19
2568,"The COVID-19 situation has been hard, especially with transitioning to online classes",School,1,work,"Ситуация с COVID-19 была сложной, особенно с переходом на онлайн-занятия."
2569,The COVID-19 situation has really been stressing me out!,"Health, Fatigue, or Physical Pain",3,health,Ситуация с Covid-19 меня очень напрягла!
2570,The covid19 situation is stressing me out. I can't find toilet paper. We all lost jobs.,Work,1,work,Ситуация с covid19 меня напрягает. Я не могу найти туалетную бумагу. Мы все потеряли работу.
2571,"The covid-19 situation.  My job hours got cut, and I'm worried about contracting it.",Work,1,work,"Ситуация с Covid-19.  Мне сократили рабочее время, и я боюсь заразиться."
2572,The COVID-19 stuff is pretty stressful.  Not really sure what to make of it all.,"Health, Fatigue, or Physical Pain",3,health,"Ситуация с COVID-19 вызывает довольно большой стресс.  Не совсем уверен, что со всем этим делать."
2573,The covid-19 virus,"Health, Fatigue, or Physical Pain",3,health,Вирус ковид-19
2574,The Covid-19 Virus affecting our world where we can't go outside.,"Health, Fatigue, or Physical Pain",3,health,"Вирус Covid-19 поражает наш мир, из которого мы не можем выйти на улицу."
2575,The COVID-19 virus and the effect it's had on my life.,Emotional Turmoil,6,unknown,Вирус COVID-19 и его влияние на мою жизнь.
2576,The covid19 virus shutting down our production,Work,1,work,Вирус covid19 останавливает наше производство
2577,The craziness surrounding the coronavirus and not knowing what's going to happen,Emotional Turmoil,6,unknown,"Сумасшествие вокруг коронавируса и незнание того, что произойдет"
2578,the crazy people i have to deal with everyday,Social Relationships,4,friends,"сумасшедшие люди, с которыми мне приходится иметь дело каждый день"
2579,THE CURRENT CORONA VIRUS AND THE ECONOMIC IMPACT,"Health, Fatigue, or Physical Pain",3,health,ТЕКУЩИЙ КОРОНАВИРУС И ЭКОНОМИЧЕСКОЕ ВОЗДЕЙСТВИЕ
2580,The current health situation.,"Health, Fatigue, or Physical Pain",3,health,Текущая ситуация со здоровьем.
2581,The current healthcare situation COVID-19,"Health, Fatigue, or Physical Pain",3,health,Текущая ситуация со здравоохранением COVID-19
2582,The current pandemic and how much its discussed on the news,"Health, Fatigue, or Physical Pain",3,health,"Текущая пандемия и то, как много ее обсуждают в новостях"
2583,The current pandemic that is going on.,Other,6,unknown,"Текущая пандемия, которая продолжается."
2584,The current state of the world,Other,6,unknown,Текущее состояние мира
2585,The current worldwide situation with covid-19,Emotional Turmoil,6,unknown,Текущая мировая ситуация с Covid-19
2586,The currently going corona virus situation.,"Health, Fatigue, or Physical Pain",3,health,Текущая ситуация с короновирусом.
2587,"the damn workload i have, and the deadlines.",Work,1,work,какая у меня чертова рабочая нагрузка и сроки.
2588,the dealer i bought my van from registered it as a commercial vehicle against my wishes,Everyday Decision Making,6,unknown,"дилер, у которого я купил свой фургон, зарегистрировал его как коммерческий автомобиль вопреки моему желанию"
2589,The economy and the recent events about the corona virus,Other,6,unknown,"Экономика и недавние события, связанные с вирусом короны"
2590,The economy has been stressing me out lately.,Financial Problem,5,finance,Экономика в последнее время меня напрягает.
2591,the fact i have several bills that are due almost at the same time and it's worrying me!,Financial Problem,5,finance,"тот факт, что у меня есть несколько счетов, которые нужно оплатить почти одновременно, и это меня беспокоит!"
2592,the fact i have to stay inside alot,Social Relationships,4,friends,"тот факт, что мне приходится часто оставаться дома"
2593,the fact that i am tired all the time and they don't know why.,"Health, Fatigue, or Physical Pain",3,health,"тот факт, что я все время устаю, и они не знают почему."
2594,the fact that I have been laid off due to the coronavirus with no prospects,Work,1,work,"то, что меня уволили из-за коронавируса без перспектив"
2595,The fact that I have online classes and not in class lectures,School,1,work,"Тот факт, что у меня есть онлайн-занятия, а не классные лекции."
2596,The fact that I'm on trial for video voyeurism,Other,6,unknown,"Тот факт, что меня судят за видеовуайеризм"
2597,The fact that school is out.,School,1,work,"Тот факт, что школа закончилась."
2598,The fact that the Coronavirus has left me without work.,Work,1,work,"Дело в том, что Коронавирус оставил меня без работы."
2599,The fact that we are out of work because of Corona,Work,1,work,"Тот факт, что мы остались без работы из-за Короны"
2600,the fact that we just opened a new shop for the business and there's still bugs that nee,Work,1,work,"тот факт, что мы только что открыли новый магазин для бизнеса, и все еще есть ошибки, которые не нужны"
2601,the final results of a court case involving my grand kids.,Family Issues,2,family,окончательные результаты судебного дела с участием моих внуков.
2602,The global pandemic has been at the top of my stressors.,"Health, Fatigue, or Physical Pain",3,health,Глобальная пандемия была для меня главным стрессором.
2603,The global pandemic has been stressing me out.,"Health, Fatigue, or Physical Pain",3,health,Глобальная пандемия вызвала у меня стресс.
2604,The global pandemic involving the coronavirus has been stressing me out.,Other,6,unknown,Глобальная пандемия коронавируса вызвала у меня стресс.
2605,the grading system for my classes this semester is really harsh.,School,1,work,система оценок моих занятий в этом семестре очень суровая.
2606,"The grocery store has become stressful lately,  the lines first then empty shelves",Other,6,unknown,"В последнее время в продуктовом магазине стресс: сначала очереди, затем пустые полки."
2607,The grocery store is out of a lot of the items I need to purchase.,Everyday Decision Making,6,unknown,"В продуктовом магазине закончилось много вещей, которые мне нужно купить."
2608,The health pandemic that is effecting everyone. To health and financial its horrible.,Financial Problem,5,finance,"Пандемия здоровья, которая затрагивает всех. Для здоровья и финансов это ужасно."
2609,the holiday dinner and my family fighting over time and location.,Family Issues,2,family,праздничный ужин и моя семья спорят из-за времени и места.
2610,the holidays are coming up,Other,6,unknown,праздники приближаются
2611,the holidays coming up lol you?,School,1,work,"скоро праздники, лол?"
2612,The house is such a mess.,Other,6,unknown,В доме такой беспорядок.
2613,the impeachment hearings are stressing me out.  i am mostly stressed out how mean people,Other,6,unknown,"слушания по импичменту меня напрягают.  меня больше всего беспокоит то, насколько злы люди"
2614,the insecurity of not having an adequate income.,Financial Problem,5,finance,неуверенность в отсутствии достаточного дохода.
2615,The kids being home all the time. Everyone being hone all day is driving each other craz,Family Issues,2,family,"Дети все время дома. Все, кто весь день честен, сводят друг друга с ума"
2616,the kids being home from school for winter break,Social Relationships,4,friends,дети возвращаются из школы на зимние каникулы
2617,the kids have been behaving badly,Family Issues,2,family,дети вели себя плохо
2618,the lack of leadership at work.,Work,1,work,отсутствие руководства на работе.
2619,the lack of qualified clients.,Work,1,work,отсутствие квалифицированных клиентов.
2620,the lack of rapport with my co-worker since our falling out and or disagreement.,Work,1,work,отсутствие взаимопонимания с моим коллегой после нашей ссоры или разногласий.
2621,The latest flu.,"Health, Fatigue, or Physical Pain",3,health,Последний грипп.
2622,the lisd said they would find alternative placement for abie and i havent heard from th,Family Issues,2,family,"Лисд сказал, что они найдут альтернативное место для Эби, но я ничего от этого не слышал."
2623,the lost of my job,Work,1,work,потеря моей работы
2624,the main thing is my boss' inconsistency in telling us what to do.,Work,1,work,"главное, это непоследовательность моего начальника, говорящего нам, что делать."
2626,the management at work is causing a lot of stress on me.,Work,1,work,руководство на работе вызывает у меня большой стресс.
2627,the management of my work place insults my new idea about a project,Work,1,work,руководство моего рабочего места оскорбляет мою новую идею о проекте
2628,the managers at the bakery are treating me unfairly after i helped open it.,Work,1,work,"Менеджеры пекарни относятся ко мне несправедливо после того, как я помог ее открыть."
2629,the money i need for my mortgage closing,Financial Problem,5,finance,"деньги, которые мне нужны для закрытия ипотеки"
2630,the most recent situation stressing me has been my job,Work,1,work,"самая недавняя ситуация, вызывающая у меня стресс, связана с моей работой"
2631,the most recent thing that has been stressing me out would have to be school,School,1,work,"последнее, что меня напрягало, это школа"
2632,the most stressful thing in my life is usually work related.,Work,1,work,самое стрессовое событие в моей жизни обычно связано с работой.
2633,the mother fucking military,Everyday Decision Making,6,unknown,чертова военная мать
2634,the need to move out of state.,Other,6,unknown,необходимость выезда из штата.
2635,the new assistant at the lab is not really helpful,Work,1,work,новый помощник в лаборатории бесполезен
2637,the only reason i have a place to stay is because of my friend.,Social Relationships,4,friends,"Единственная причина, по которой мне есть, где остановиться, это мой друг."
2638,the other day i messed something up at work and it sucked,Work,1,work,"на днях я что-то испортил на работе, и это отстой"
2639,the overwhelming thought of being at home during COVID-19,Emotional Turmoil,6,unknown,"непреодолимая мысль о том, чтобы быть дома во время COVID-19"
2640,The pandemic,"Health, Fatigue, or Physical Pain",3,health,Пандемия
2641,the pandemic and work,Work,1,work,пандемия и работа
2642,The pandemic in the world,"Health, Fatigue, or Physical Pain",3,health,Пандемия в мире
2643,The pandemic is causing me a great deal of stress.,"Health, Fatigue, or Physical Pain",3,health,Пандемия вызывает у меня большой стресс.
2644,The pandemic situation of covid-19 is really stressing me out. i cant go out,Social Relationships,4,friends,Ситуация с пандемией Covid-19 меня очень напрягает. я не могу выйти
2645,"The pandemic, hoarding, stupidity of people","Health, Fatigue, or Physical Pain",3,health,"Пандемия, накопительство, глупость людей"
2646,"The pandemic, it is making me very anxious",Other,6,unknown,Пандемия меня очень беспокоит
2647,the paper i need to write before school semester ends this year.,School,1,work,"статья, которую мне нужно написать до окончания школьного семестра в этом году."
2648,"the political situation in america is pretty stressful, i can't wait until november 2020",Other,6,unknown,"политическая ситуация в Америке довольно напряженная, я не могу дождаться ноября 2020 года"
2649,the political situation right now.,Other,6,unknown,политическая ситуация сейчас.
2650,the postdoc in my lab is creepy,Social Relationships,4,friends,Постдок в моей лаборатории жуткий
2651,the ppl at work are driving me nuts,Work,1,work,люди на работе сводят меня с ума
2652,The projection of the Coronavirus on the U.S. and the world. I need to work.,Work,1,work,Проекция коронавируса на США и мир. Мне нужно работать.
2653,The punk Postmaster (33 years old) making more than twice my wages and just sitting!,Work,1,work,"Панк-почтмейстер (33 года), зарабатывающий вдвое больше моей зарплаты, и просто сидит!"
2654,THE RAPID SPREAD OF CORONOVIRUS,"Health, Fatigue, or Physical Pain",3,health,БЫСТРОЕ РАСПРОСТРАНЕНИЕ КОРОНОВИРУСА
2655,The recent coronavirus outbreak is stressing me out.,"Health, Fatigue, or Physical Pain",3,health,Недавняя вспышка коронавируса вызывает у меня стресс.
2656,The recent COVID-19 situation is stressing me out.,"Health, Fatigue, or Physical Pain",3,health,Недавняя ситуация с COVID-19 вызывает у меня стресс.
2657,The recent outbreak of COVID-19 has put a lot of stress on me. I'm not sure what to do.,"Health, Fatigue, or Physical Pain",3,health,"Недавняя вспышка COVID-19 вызвала у меня большой стресс. Я не знаю, что делать."
2658,the recent situation stressing me is my finances.,Financial Problem,5,finance,"недавняя ситуация, которая меня беспокоит, - это мои финансы."
2659,"the recent talks of war and conflict, and the economic turmoil from that.",Financial Problem,5,finance,недавние разговоры о войне и конфликтах и ​​вызванные ими экономические потрясения.
2660,the recent things that have been stressing about is moving.,Everyday Decision Making,6,unknown,"недавние вещи, из-за которых мы переживали, двигаются."
2661,the recent things that have been stressing me out is my health and the health of my fami,"Health, Fatigue, or Physical Pain",3,health,"последние вещи, которые меня беспокоят, - это мое здоровье и здоровье моей семьи"
2662,The relationship stuff going on with Nathan.,Social Relationships,4,friends,"Отношения, происходящие с Нэйтаном."
2663,the sale of my house is making lose sleep.,Financial Problem,5,finance,продажа моего дома лишает меня сна.
2664,the shelter in place,Other,6,unknown,убежище на месте
2665,The shelves being empty and not being able to find things we need because of coronaviru.,Other,6,unknown,Полки пусты и невозможно найти нужные вещи из-за коронавируса.
2666,the shooting that happened today,Emotional Turmoil,6,unknown,"стрельба, которая произошла сегодня"
2667,"The shutdown is stressing me out, it has changed my school and work schedule.",Financial Problem,5,finance,"Отключение вызывает у меня стресс, оно изменило мой учебный и рабочий график."
2668,the situation about the coronavirous,"Health, Fatigue, or Physical Pain",3,health,ситуация с коронавирусом
2669,The situation i been stressing out about is the COVID-19 virus,"Health, Fatigue, or Physical Pain",3,health,"Ситуация, о которой я подчеркиваю, - это вирус COVID-19."
2670,the situation in the middle east. im worried about my husband potentially being deploy.,Social Relationships,4,friends,"ситуация на Ближнем Востоке. Я беспокоюсь о том, что моего мужа могут отправить в командировку."
2671,THE SITUATION OF A LOT OF PEOPLE BECOMING SICK ALL AROUND THE WORLD AND ME FINDING THE M,"Health, Fatigue, or Physical Pain",3,health,"СИТУАЦИЯ: МНОГИЕ ЛЮДИ ЗАБОЛЕВАЮТ ПО ВСЕМУ МИРУ, А Я НАХОДЮ М."
2672,the situation that has been stressing me out is work it's crazy,Work,1,work,"ситуация, которая меня напрягает, это работа, это безумие"
2673,The situation that the world is in now with this Covid 19 virus running rampant.,"Health, Fatigue, or Physical Pain",3,health,"Ситуация, в которой сейчас находится мир, когда свирепствует вирус Covid 19."
2674,The situation with coronavirus has been very stressful lately.,Emotional Turmoil,6,unknown,Ситуация с коронавирусом в последнее время очень напряженная.
2675,the situation with iran had me stressed out the other day.,Other,6,unknown,ситуация с Ираном меня на днях напрягла.
2676,The spread of covid-19 is crazy,"Health, Fatigue, or Physical Pain",3,health,Распространение Covid-19 сумасшедшее
2677,The spread of the coronavirus is really scary.,"Health, Fatigue, or Physical Pain",3,health,Распространение коронавируса действительно пугает.
2678,the state of our country,Other,6,unknown,состояние нашей страны
2679,The stay at home order due to covid 19 virus,"Health, Fatigue, or Physical Pain",3,health,Приказ оставаться дома из-за вируса covid 19
2680,The stupid COVID outbreak,"Health, Fatigue, or Physical Pain",3,health,Глупая вспышка COVID
2681,the stupid problems at work. a lot going on. it's so fast paced. i'm not sure i'll make,Work,1,work,"глупые проблемы на работе. много чего происходит. это так быстро. я не уверен, что сделаю"
2682,the stupid virus and the people around me who do not take this serious!,Emotional Turmoil,6,unknown,"глупый вирус и люди вокруг меня, которые не воспринимают это всерьез!"
2683,the teacher didn' want to receive my homework because i was 3 minutes late to his class,School,1,work,"учитель не хотел получать мое домашнее задание, потому что я опоздал на 3 минуты к нему в класс"
2684,the thing that stressed me out the most has been my follow up doctor's appointment,"Health, Fatigue, or Physical Pain",3,health,больше всего меня расстроило посещение врача
2685,the things that has been stressing me out is trying to be able to live on my own.,Financial Problem,5,finance,"Единственное, что меня напрягало, это попытка жить самостоятельно."
2686,the traffic was so bad.,Other,6,unknown,движение было настолько плохим.
2687,the trump corruption and impeachment with new controversies every day is exhausting,Other,6,unknown,коррупция Трампа и импичмент с новыми противоречиями каждый день утомляют
2688,The uncertainty about my workload over the next couple months is stressing me out.,Work,1,work,Неопределенность относительно моей рабочей нагрузки в ближайшие пару месяцев меня напрягает.
2689,the uncertainty of my relationship is stressing me out.,Emotional Turmoil,6,unknown,неопределенность моих отношений меня напрягает.
2690,The uncertainty of the current global crisis has me deeply concerned.,Emotional Turmoil,6,unknown,Неопределенность нынешнего глобального кризиса глубоко беспокоит меня.
2691,The uncertainty of when work for school is due.,School,1,work,"Неопределенность того, когда придет время работы в школе."
2692,the upcoming spring college semester.,School,1,work,предстоящий весенний семестр в колледже.
2693,"the usual kids, husband's job, and house",Everyday Decision Making,6,unknown,"обычные дети, работа мужа и дом"
2694,"the usual, family work, my health",Family Issues,2,family,"обычное дело, семейная работа, мое здоровье"
2695,"the usual, kids, doctors, money, too much of everything.",Family Issues,2,family,"обычное дело, дети, врачи, деньги, всего слишком много."
2696,The virus going around,"Health, Fatigue, or Physical Pain",3,health,Вирус ходит вокруг
2697,"The virus has been on my mind quite a bit, but not too stressful!",Other,6,unknown,"Я довольно долго думал о вирусе, но не слишком сильно!"
2698,the virus has been stressing me out!,"Health, Fatigue, or Physical Pain",3,health,вирус меня напрягает!
2699,The virus outbreak and aftermath have made it hard to find another job.,Work,1,work,Вспышка вируса и ее последствия затруднили поиск другой работы.
2700,The virus situation is way out of hand.,Emotional Turmoil,6,unknown,Ситуация с вирусом вышла из-под контроля.
2701,"The virus situation, I'm not sure when I'll be able to work again",Work,1,work,"Ситуация с вирусом, я не уверен, когда снова смогу работать."
2702,The virus spreading the world,"Health, Fatigue, or Physical Pain",3,health,Вирус распространяет мир
2703,The virus that is spreading.,Other,6,unknown,"Вирус, который распространяется."
2704,the washing machine is broken and i'm really behind on laundry.,Everyday Decision Making,6,unknown,"стиральная машина сломана, и я сильно запаздываю со стиркой."
2705,the weather is crazy,Other,6,unknown,погода сумасшедшая
2706,the whole  corona  situation stresses me,"Health, Fatigue, or Physical Pain",3,health,вся ситуация с короной меня напрягает
2707,the whole covid 19 situation,"Health, Fatigue, or Physical Pain",3,health,вся ситуация с covid 19
2708,The whole COVID-19 thing,Everyday Decision Making,6,unknown,Вся эта история с COVID-19
2709,the whole decision to leave my job in six months.,Financial Problem,5,finance,все решение уйти с работы через шесть месяцев.
2710,The whole world right now. Covid Politics,Financial Problem,5,finance,Весь мир прямо сейчас. Ковидная политика
2711,The work here is overwhelming,Work,1,work,Работа здесь огромная
2712,THE WORK LOAD HAS GROWN significantly,Work,1,work,РАБОЧАЯ НАГРУЗКА ЗНАЧИТЕЛЬНО ВЫРОСЛА
2713,The world as it is right now.,Other,6,unknown,"Мир, какой он есть сейчас."
2714,The world is involved in a global pandemic and we have been told to isolate ourselves,"Health, Fatigue, or Physical Pain",3,health,"Мир вовлечен в глобальную пандемию, и нам сказали изолироваться."
2715,there are a few situations that are stressing me out.,Other,6,unknown,"Есть несколько ситуаций, которые меня напрягают."
2716,there are a lot of projects at work weighing on me,Work,1,work,"на работе много проектов, которые давят на меня"
2717,there has been some passive-aggressive behavior from my boss.,Work,1,work,мой начальник проявлял пассивно-агрессивное поведение.
2718,There have a lots of bad new on the television,Other,6,unknown,По телевизору много плохих новостей
2719,there is a coworker who is behaving rudely towards me at work.,Work,1,work,на работе коллега ведет себя грубо по отношению ко мне.
2720,"there is a lot going on in the news about iran, i pray that our troops are safe.",Emotional Turmoil,6,unknown,"В новостях много говорится об Иране, я молюсь, чтобы наши войска были в безопасности."
2721,There is a pandemic and it is dangerous to leave the house.,"Health, Fatigue, or Physical Pain",3,health,Сейчас пандемия и выходить из дома опасно.
2722,there is hardly any work at mechanical turk the past week.,Work,1,work,на прошлой неделе в Mechanical Turk почти не было работы.
2723,there is not enough coverage at work and i have been doing the work of 2,Work,1,work,"на работе недостаточно освещения, а я работаю за 2"
2724,there is not enough time in the day for both work and errands.,Work,1,work,"времени в сутках не хватает ни на работу, ни на дела."
2725,there is not enough to do around here i am worried that i might lose my job,Work,1,work,"здесь нечем заняться, я боюсь, что могу потерять работу"
