sID,sentence,top_label,label,class_name
1684,money and how to make it through,Financial Problem,5,finance
1685,money and my bills i don't know how to keep up,Financial Problem,5,finance
1686,money and my job.,Work,1,work
1687,money and work issues,Work,1,work
1688,money had been stressful lately,Financial Problem,5,finance
1689,money had for sure been stressing me out,Financial Problem,5,finance
1690,money has been really stressful lately,Financial Problem,5,finance
1691,money has been tight. bills just keep coming.,Financial Problem,5,finance
1692,money i can't pay bills and buy christmas,Financial Problem,5,finance
1693,money is a big issue right now,Financial Problem,5,finance
1694,"money is stressing me out lately, just not enough to go around",Financial Problem,5,finance
1695,money issues and job availability; there never seems to be enough of both.,Financial Problem,5,finance
1696,money issues stress me out,Financial Problem,5,finance
1697,money just seems so hard to come by these days.,Financial Problem,5,finance
1698,money or lack thereof. money is always stressful.,Financial Problem,5,finance
1699,money problem is big problem,Financial Problem,5,finance
1700,money problems for school is a bust,School,1,work
1701,"money problems, i have been having several unexpected bills recently.",Financial Problem,5,finance
1702,money problems. i don't have enough,Financial Problem,5,finance
1703,money situation,Financial Problem,5,finance
1704,money situation has been the biggest stress for me,Financial Problem,5,finance
1705,money situation in running low this month and bills are pileing up,Financial Problem,5,finance
1706,money sucks! why do we have to work so much to get money?,Financial Problem,5,finance
1707,money that's one of the first thing to work out for a stress,Financial Problem,5,finance
1708,money! i shouldn't have loaned to family when things are so tight,Family Issues,2,family
1709,"money, as always.  always worried about money.",Financial Problem,5,finance
1710,"Money, I just don't know how I'm gonna make it at times.",Financial Problem,5,finance
1711,money. between trying to get things listed and bringing the stuff down from the attic.,Financial Problem,5,finance
1712,"mostly about school work, upcoming exams and grades",School,1,work
1713,"Mostly just school, and how much work left to do.",School,1,work
1714,Mostly work and money issues.,Work,1,work
1715,mostly work and working too many hours,Work,1,work
1716,Mother's death is stressing me out.,Family Issues,2,family
1717,moving,Everyday Decision Making,6,unknown
1718,moving in to a new house.. so much stress,Other,6,unknown
1719,moving to a different state and trying to find a job,Work,1,work
1720,moving to my new home is just so stressing,Other,6,unknown
1721,Mturk tasks pay is so low,Work,1,work
1722,my 13 year old hates school and tries everything to avoid going,Family Issues,2,family
1723,My ability to earn a better living for myself.,Work,1,work
1724,my academics and workload,School,1,work
1725,my amount of credit card debt,Financial Problem,5,finance
1726,my annoying sister has been stressing me.,Family Issues,2,family
1727,my appointment with the dental surgeon has been stressing me out recently.,"Health, Fatigue, or Physical Pain",3,health
1728,my aunt passed and i'm trying write an eulogy.,Family Issues,2,family
1729,My baby daddy has been fighting with his family and it has been driving me crazy.,Family Issues,2,family
1730,my baby has not been sleeping.,Family Issues,2,family
1731,my baby is learning to climb out of her crib,Other,6,unknown
1732,my back,"Health, Fatigue, or Physical Pain",3,health
1733,my back has been bothering me and i've decided to see a doctor.,"Health, Fatigue, or Physical Pain",3,health
1734,my bill,Financial Problem,5,finance
1735,"my body looks so bad currently, my birth control won't let me lose weight! i hate it!","Health, Fatigue, or Physical Pain",3,health
1736,my boss and i have not been getting along very well.  she's being unreasonable,Work,1,work
1737,my boss at work,Work,1,work
1738,"my boss at work, who's extremely inconsiderate.",Work,1,work
1739,my boss constantly undermines my work in front of others.,Work,1,work
1740,My boss does not appreciate my hard work,Work,1,work
1741,my boss does not know how to manage people well and she has been rude all week,Work,1,work
1742,my boss has been avoiding all of my emails and i need something from him,Work,1,work
1743,"my boss has been crazy lately, threatened to let me go.",Work,1,work
1744,my boss has been demanding and it has been hard for me to focus at work.,Work,1,work
1745,my boss has been hounding me about this project i'm on.,Work,1,work
1746,my boss has really been on me this week.,Work,1,work
1747,my boss is always giving me a hard time,Work,1,work
1748,my boss is always on my case,Work,1,work
1749,my boss is an asshole.,Work,1,work
1750,my boss is being a petty asshole,Work,1,work
1751,my boss is driving me crazy.,Work,1,work
1752,my boss is giving trouble,Work,1,work
1753,my boss is incomptent and creates his own mess,Work,1,work
1754,"my boss is micro managing us, it's so frustrating. it doesn't help the moral of the team",Work,1,work
1755,my boss is never around.,Work,1,work
1756,My boss is really pushing me and its hard to deal with,Work,1,work
1757,my boss is stressing me out and doesn't seem to trust me,Work,1,work
1758,my boss is very demanding,Work,1,work
1759,my boss keeps giving me busy work to act like he's a boss,Work,1,work
1760,my boss really screwed me over today.,Work,1,work
1761,my boss refuses to give me a straight answer about when a project is due,Work,1,work
1762,my boss was a dick,Other,6,unknown
1763,my boss was driving me nuts yesterday with his report,Work,1,work
1764,my boss whats more production from me at work!,Work,1,work
1765,my boss worked me more hours then i am capable of,Work,1,work
1766,"my boss yelled at me, and i didn't do anything wrong.",Work,1,work
1767,my boss. he is an asshole,Work,1,work
1768,my bosses are engaged in some serious conflict and dragging me into it,Work,1,work
1769,My boyfriend and I are currently on a break (per his request).,Social Relationships,4,friends
1770,my boyfriend and i are fighting and i don't know what to do.,Emotional Turmoil,6,unknown
1771,my boyfriend and i have been arguing about keeping his mothers cat again lately.,Family Issues,2,family
1772,my boyfriend doesn't have a job and money is really stressful right now.,Financial Problem,5,finance
1773,my boyfriend has been recently ill and can't work.,Social Relationships,4,friends
1774,my boyfriend has been stressing me out,Social Relationships,4,friends
1775,my boyfriend hasn't responded to my calls for the last two days.,Social Relationships,4,friends
1776,my boyfriend hasn't spoken to me today,Social Relationships,4,friends
1777,my boyfriend is cheating on me,Social Relationships,4,friends
1778,my boyfriend is fighting with me,Social Relationships,4,friends
1779,my boyfriend is overseas at the baghdad embassy. i worry over his safety.,Social Relationships,4,friends
1780,"My boyfriend is trying to move in, he's scared of Corona though..",Social Relationships,4,friends
1781,my boyfriend isn't affectionate with me,Social Relationships,4,friends
1782,my boyfriend lot his job,Financial Problem,5,finance
1783,my boyfriend not having a steady income and us getting behind on our mortgage,Financial Problem,5,finance
1784,"my broken foot has not healed and i've been in a cast for 4 months, i want to walk again","Health, Fatigue, or Physical Pain",3,health
1785,My brother bing exposed to COVID-19 and bot being in California to help out my family.,Family Issues,2,family
1786,My brother has been missing for a few weeks now. And I don't know what to do.,Family Issues,2,family
1787,my brother just found out he has cancer,"Health, Fatigue, or Physical Pain",3,health
1788,my building i was living in burned down...,Other,6,unknown
1790,my car brakes need to be changed and i am tight on money.,Financial Problem,5,finance
1791,"my car broke down again, but i can't afford a new one.",Financial Problem,5,finance
1792,my car had recently started running hot and i don't know what to do.,Other,6,unknown
1793,my car has been acting up and i have no idea how to fix it,Everyday Decision Making,6,unknown
1794,my car has been in the auto shop all week for repairs so i haven't had a car.,Other,6,unknown
1795,my car has been showing signs that something is wrong with it and it sucks,Other,6,unknown
1796,my car has broken down and i really can't afford to fix it.,Financial Problem,5,finance
1797,my car is a lease and i am over the mileage allowed,Other,6,unknown
1798,My car is not working due to a wiring error I made,Other,6,unknown
1799,my car payment is due in a week and i have no money.,Financial Problem,5,finance
1800,my career,Work,1,work
1801,my car's started died this week and it cost me a lot of money to fix it.,Financial Problem,5,finance
1802,my child,Family Issues,2,family
1803,my child has been misbehaving.,Family Issues,2,family
1804,my child has gotten a real smart mouth,Family Issues,2,family
1805,my child needs help in school and my husband's hours were cut,Family Issues,2,family
1806,"my child was mean to me this morning, he was talking bad words.",Family Issues,2,family
1807,my child's father is not active in my sons life and i'm struggling!,Family Issues,2,family
1808,my classes have been really stressing me out.,School,1,work
1809,my client's mom cancelled on wednesdays. idk how i will make up the time.,Work,1,work
1810,my co worker has been picking on me,Work,1,work
1811,my college admissions,School,1,work
1812,my college roommate has been making me really anxious,School,1,work
1813,My company furloughed me,Financial Problem,5,finance
1814,my company is closing and my job is going away.,Work,1,work
1815,"my company is down-sizing and since i am just an assistant, i fear my job is in jeopardy",Work,1,work
1816,my company is selling the buisness and i might be jobless.,Work,1,work
1817,my company may be acquired by another company,Work,1,work
1818,My cousin thinks she might have covid-19,"Health, Fatigue, or Physical Pain",3,health
1819,my coworker and i dont get along at a all,Work,1,work
1820,my co-worker has been talking to me too much; can't get any work done.,Work,1,work
1821,my co-worker is on vacation and i have to do her job this week.,Work,1,work
1822,my coworker is soo annoying and crazy,Work,1,work
1823,my co-workers are driving me nuts!,Work,1,work
1824,my coworker's inabilty to carry a meaningful conversation,Social Relationships,4,friends
1825,my crazy childrens father.,Family Issues,2,family
1826,my credit card balance are so high.,Financial Problem,5,finance
1827,my current job has been stressing me out.,Work,1,work
1828,my current on/off relationship with the person i have been dating for over a year now,Social Relationships,4,friends
1829,"my dad injured his hand about a month, 6 weeks ago",Family Issues,2,family
1830,my dad needs surgery next week,Family Issues,2,family
1831,My dad will not stop trying to take all my freedom away :(,Family Issues,2,family
1832,my date,Social Relationships,4,friends
1833,my daughter driving test,Family Issues,2,family
1834,my daughter has a boyfriend and was sneaking around and not telling me where she was,Family Issues,2,family
1835,My daughter has been diving me crazy,Family Issues,2,family
1836,my daughter has been having panic attacks,Family Issues,2,family
1837,my daughter is depressed and i have tried everything to help her.,Emotional Turmoil,6,unknown
1838,my daughter is having issues in kindergarten with someone stealing her stuff.,Family Issues,2,family
1839,my daughter is spending way too much money and causing me financial stress.,Family Issues,2,family
1840,my daughter sarah,Family Issues,2,family
1841,"my daughter threw a major tantrum on monday night, screaming and crying",Family Issues,2,family
1842,my daughter turned 5 the first day of kindergarten and i'm afraid she is maturely behind,Family Issues,2,family
1843,my daughter wont pick up after herself even after numerous things taken away from her.,Family Issues,2,family
1844,My daughter's MS diagnosis.,"Health, Fatigue, or Physical Pain",3,health
1845,my daughter's upcoming birthday party that i have to plan for.,Other,6,unknown
1846,my decision to go back to school,School,1,work
1847,my diet/fasting is stressing me at the moment.,"Health, Fatigue, or Physical Pain",3,health
1848,my divorce has totally stressed me out.,Family Issues,2,family
1849,"my dog has cancer, and i don't know how i'm going to afford his treatment.",Financial Problem,5,finance
1850,my dog has cancer. she's doing okay now but i'm worried about it.,Emotional Turmoil,6,unknown
1851,my dog has stitches in and she's being crazy,Family Issues,2,family
1852,my dog is missing.,Family Issues,2,family
1853,My dog is sick and I don't have the money to take him to the vet,"Health, Fatigue, or Physical Pain",3,health
1854,"my dog just passed away, i am super sad and stressed.",Emotional Turmoil,6,unknown
1855,my dog keeps barking,Other,6,unknown
1856,my dog keeps me up at night,"Health, Fatigue, or Physical Pain",3,health
1857,my dog of 12 years passed away,Emotional Turmoil,6,unknown
1858,my dogs have been misbehaving. i am worried that one of the them is sick.,Other,6,unknown
1859,my dumbass bf has not been helping me with bills or anything,Social Relationships,4,friends
1860,"my entire situation is stressful, try being homeless.",Financial Problem,5,finance
1861,my ex was getting angry last weekend when i told him not to come for my son's birthday.,Social Relationships,4,friends
1862,my ex-husband is nagging me to proceed with the divorce,Family Issues,2,family
1863,"my extended family is coming for dinner, and there will be twenty of them crammed togeth",Family Issues,2,family
1864,my extreme lower back pain,"Health, Fatigue, or Physical Pain",3,health
1865,my facebook might have been hacked.,Other,6,unknown
1866,my family has been stressing me out. i'm ready to come back to campus,Family Issues,2,family
1867,my family in the holidays. absolutely excruciating time of year full of drama.,Family Issues,2,family
1868,my family is stressing me,Family Issues,2,family
1869,My family life is broken,Family Issues,2,family
1870,my family problems and stressful office work,Work,1,work
1871,my fiance is in jail,Emotional Turmoil,6,unknown
1872,My finances are stressing me out.,Financial Problem,5,finance
1873,my financial choices are unwise and i need to change.,Financial Problem,5,finance
1874,my financial situaition is tough this month.,Financial Problem,5,finance
1875,my financial situation,Financial Problem,5,finance
1876,my financial situation has been stressful. i'm working on keeping myself accountable,Financial Problem,5,finance
1877,my financial situation has been very stressful,Financial Problem,5,finance
1878,my financial situation has me stressed to the max my friend,Financial Problem,5,finance
1879,my financial situation is not getting better.,Financial Problem,5,finance
1880,my financial situation is stressing me out.,Financial Problem,5,finance
1881,my financial situation was been worrying me. i feel useless.,Financial Problem,5,finance
1882,"My financial situation, even before COVID happened, and having 3 autoimmune diseases.",Financial Problem,5,finance
1883,"my financial situation, i have bills that are past due.",Financial Problem,5,finance
1884,my foster kitten is dying.,Emotional Turmoil,6,unknown
1885,my friend being mad at me,Social Relationships,4,friends
1886,My friend has been sick with the flu and they can't afford to get medicine.,Social Relationships,4,friends
1887,my friend is angry with me . and she did not talking to me.. i can not convence her . it,Social Relationships,4,friends
1888,my friend was died in road accident,Social Relationships,4,friends
1889,"my friends death, his service was today.",Social Relationships,4,friends
1890,My friend's grandparents health is declining,Family Issues,2,family
1891,"My future, my current state of mind.",Everyday Decision Making,6,unknown
1892,my garbage disposal just went on the fritz.,Other,6,unknown
1893,my girlfriend and i broke up almost a year ago and i'm still not over it.,Social Relationships,4,friends
1894,My girlfriend has been bugging me. She's always anxious and it's stressing me out.,Social Relationships,4,friends
1895,my girlfriend is concerned i am not earning enough to support our future family.,Financial Problem,5,finance
1896,my girlfriend just broke up with me,Social Relationships,4,friends
1897,My girlfriend moved out today,Social Relationships,4,friends
1898,my glasses keep getting smudges wtf,Other,6,unknown
1899,my grades and a course that i really cant handle right now.,School,1,work
1900,My graduate level capstone project deadline,School,1,work
1901,My graduate school application have been stressing me out!,School,1,work
1902,my grandmother is sick,Family Issues,2,family
1903,my hair makes me feel unattractive,Other,6,unknown
1904,My has is very sick,"Health, Fatigue, or Physical Pain",3,health
1905,my health has really been stressing me out lately!,"Health, Fatigue, or Physical Pain",3,health
1906,my health isn't so good right now,"Health, Fatigue, or Physical Pain",3,health
1907,"my health- it seems like every time one thing heals, another thing goes wrong.","Health, Fatigue, or Physical Pain",3,health
1908,my health seems to have taken a turn for the worse,"Health, Fatigue, or Physical Pain",3,health
1909,my home burned before christmas and i have been homeless.,Financial Problem,5,finance
1910,My hours at work were cut so I am worried about paying bills,Financial Problem,5,finance
1911,My hours have been cut at work.,Work,1,work
1912,my hours were cut back at work,Work,1,work
1913,my house build - i've been continuing to run into issues with the construction manager.,Everyday Decision Making,6,unknown
1914,my husband and i got into a really big fight and now we are not on talking terms,Family Issues,2,family
1915,"my husband being gone all the time, and dealing with the kids 24/7.",Family Issues,2,family
1916,my husband got laid off from his job.,Financial Problem,5,finance
1917,my husband has been acting a little weird.,Social Relationships,4,friends
1918,my husband has been arrested for a dui,Family Issues,2,family
1919,my husband has been ill.,Family Issues,2,family
1920,my husband has been so busy lately that we never spend quality time together anymore.,Social Relationships,4,friends
1921,my husband has been stressed at work because it always gets busier around the holidays.,Work,1,work
1922,My husband is drinking heavily now that he is off work.,Work,1,work
1923,my husband is not well.  he has heart problems and diabetes.,"Health, Fatigue, or Physical Pain",3,health
1924,my husband is stressing me out. he lost his job and he's been home waay to much!!,Emotional Turmoil,6,unknown
1925,my husband left me i lost my job and can't see my catcher so that has been stressing me.,Emotional Turmoil,6,unknown
1926,My husband lost his job,Work,1,work
1927,my husband lost his job and we're struggling to stay afloat.,Financial Problem,5,finance
1928,my husband not spending time with me. he is always woking andi feel lonely and rejected.,Family Issues,2,family
1929,my husband owes paypal $250 dollars today and  don't know how he is going to pay it!,Financial Problem,5,finance
1930,My husband stresses me out. Drinks too much.,Family Issues,2,family
1931,"my husband went to go to work and our truck was gone, it had been repoed,",Financial Problem,5,finance
1932,"My husband works with the person he cheated on me with, how do i handle this?",Family Issues,2,family
1933,"My husband! Ugh, he won't stop playing video games.",Family Issues,2,family
1934,my husbands affair childs mom,Family Issues,2,family
1935,my husbands affair has left us with a pregnant girl that is  a jerk.,Family Issues,2,family
1936,my husband's hours have been cut at work,Work,1,work
1937,My husband's work had someone test positive for Coronavirus and they might shut down.,Social Relationships,4,friends
1938,my in laws inability to put their electronics away and spend time with their grandchild,Family Issues,2,family
1939,my inability to earn money,Financial Problem,5,finance
1940,my income or lack thereof until my job starts.,Financial Problem,5,finance
1941,"my job , its killing me , just dont feel stable in it im worried",Work,1,work
1942,my job adds more with with my extra pay stresses me out.,Work,1,work
1943,my job all my boss does is yell at you even when your doing every right,Work,1,work
1944,my job and career,Work,1,work
1945,my job and not taking a vacation and being lonely,Work,1,work
1946,my job and the clients that i am currently having to interact with.,Work,1,work
1947,my job and the lack of communication in that place.,Work,1,work
1948,my job and the lack of pay is stressing me out,Work,1,work
1949,"my job been very stresfull due to paycheck cuts , and right before holidays",Work,1,work
1950,My job cut me back to 20hrs with 50% pay. I am fucked.,Work,1,work
1951,my job has been really stressful with deadlines this week.,Work,1,work
1952,my job has been stressing me out,Work,1,work
1953,my job has been stressing me out a ton lately.,Work,1,work
1954,my job has extended my hours.,Work,1,work
1955,my job has had a ton of drama :(,Work,1,work
1956,my job hunt is going nowhere and i just have so many self doubts,Emotional Turmoil,6,unknown
1957,my job is pushing me to the limit,Work,1,work
1958,my job is stressful with a co-worker who i think is bipolar,Work,1,work
1959,my job is stressing me out,Work,1,work
1960,MY job is stressing me out right now,Work,1,work
1961,"my job is stressing me out, i am seriously looking for a less stressful work environment",Work,1,work
1962,my job isn't paying me enough to make ends meat.,Financial Problem,5,finance
1963,my job it has been full of crazy stuff.,Work,1,work
1964,"my job lost half its funding so hours have been cut. so, paying bills has been hard.",Work,1,work
1965,My job makes me stressed out and have a little bit of anxiety.,Work,1,work
1966,my job search process. it is so stressful and uncertain.,Work,1,work
1967,my job which is cool and all but it takes time to move up and the pay is lousy..,Work,1,work
1968,"my job, i'm not sure if i like it",Work,1,work
1969,"my job, my living situation, men.",Work,1,work
1970,my job. i just wish my boss would give me the money i need.,Work,1,work
1971,my job. it has 0 application for the shit i do for it,Work,1,work
1972,my job's been really stressing me out lately,Work,1,work
1973,"my jobs sucks, it is painful on my body and very low pay.","Health, Fatigue, or Physical Pain",3,health
1974,my kids and their school and activities schedule.,School,1,work
1975,my kids are driving me crazy,Family Issues,2,family
1976,my kids are driving me crazy.,Family Issues,2,family
1977,my kids are not listening!,Family Issues,2,family
1978,my kids are stressing me out,Family Issues,2,family
1979,my kids aren't sleeping well at night.,Family Issues,2,family
1980,my kids' behavior recently,Family Issues,2,family
1981,"my kids constantly need my attention, so trying to get things done has been stressful.",Family Issues,2,family
1982,my kids see driving me crazy and being bad,Family Issues,2,family
1983,my kids spent too much money at the event today,Family Issues,2,family
1984,my kids. they never listen. i try so hard to be patient with them because i know its my,Family Issues,2,family
1985,my lack of financial ability.,Financial Problem,5,finance
1986,my laptop is down i need it for school,School,1,work
1987,My last semester of college was cancelled and I am sad.,School,1,work
1988,my lease is ending soon,Everyday Decision Making,6,unknown
1989,my life in general,Everyday Decision Making,6,unknown
1990,my life is falling apart.,Emotional Turmoil,6,unknown
1991,my love life. i can't stop. i won't stop. not sure if this feeling will ever go away.,Social Relationships,4,friends
1992,My manager is difficult to deal with.  I am stressed so much.  Help I need my friends ..,Work,1,work
1993,My manager keeps stressing me out a work,Work,1,work
1994,my marriage,Family Issues,2,family
1995,my marriage has been stressing me out,Family Issues,2,family
1996,My marriage is the pits. So abusive but I don't have a way to get out,Family Issues,2,family
1997,My mom had her cognitive assessment and they think she might have dementia.,Family Issues,2,family
1998,my mom is being annoying,Family Issues,2,family
1999,my mom is causing so many problems.,Family Issues,2,family
2000,my mom is driving me crazy,Family Issues,2,family
2001,my mom is driving my crazy,Family Issues,2,family
2002,my mom is getting kicked out of her assisted living and i have to find a place for her.,Family Issues,2,family
2003,my mom is not leaving me alone,Family Issues,2,family
2004,"My mom is worried about contracting the coronavirus, I fear going out in public.","Health, Fatigue, or Physical Pain",3,health
2005,My mom was taken to the hospital by ambulance yesterday afternoon.,Family Issues,2,family
2006,My mom won't get off my back about having kids.,Family Issues,2,family
2007,my moms spending habits who is on a fixed income. doesnt matter how much i talk to her.,Family Issues,2,family
2008,my money life has me down,Financial Problem,5,finance
2009,my money situation has been really stressful recently. 100 bills and $5 in the account.,Financial Problem,5,finance
2010,"my money, my job, everything i guess.",Family Issues,2,family
2011,my mother and sister got into a fight and are no longer speaking.,Family Issues,2,family
2012,my mother in law is annoying me so much,Family Issues,2,family
2013,my mother in law owes me money and i am not sure what to do,Financial Problem,5,finance
2014,my mother in laws is a fake bitch.. i have to be the bigger person!,Family Issues,2,family
2015,"my mother still tries to tell me what to do, even though i'm an adult.",Family Issues,2,family
2016,"my mother treats me like i'm 12, except when it suits her needs",Family Issues,2,family
2017,"my move on wednesday, thanks for asking. you?",Other,6,unknown
2018,My nagging girlfriend who is insecure with herslef.,Social Relationships,4,friends
2019,My neighbor is having trouble with their neighbor below them and its upsetting.,Social Relationships,4,friends
2020,my new boss at work is very power hungry.  it's gotten very bad.,Work,1,work
2021,my new job has been stressing me out but i know that it takes time to learn it.,Work,1,work
2022,my new job.,Work,1,work
2023,my new weight gain,"Health, Fatigue, or Physical Pain",3,health
2024,"my new, used car has been costing me a lot of money.",Financial Problem,5,finance
2025,my niece leaving family home uninhabitable,Family Issues,2,family
2026,my oldest son has been having serious issues at school almost every day.,Family Issues,2,family
2027,My parents are old and I'm unsure if the coronavirus will happen to them,Family Issues,2,family
2028,My parents contracting Covid-19,Family Issues,2,family
2029,my parents' health has been stressful for them and me.,Family Issues,2,family
2030,My partner has been very dismissive towards my feelings lately.,Emotional Turmoil,6,unknown
2031,my partner smokes cigarettes and can't quit. i feel sad for him.,Emotional Turmoil,6,unknown
2032,My partner was furloughed due to COVID 19.,Work,1,work
2033,my physical pain and mental health symptoms lately.,"Health, Fatigue, or Physical Pain",3,health
2034,my position at work is changing... again!,Work,1,work
2035,my post op to my knee.,"Health, Fatigue, or Physical Pain",3,health
2036,my presentation that's coming up,Work,1,work
2037,my productivity,Other,6,unknown
2038,my project is due tomorrow and i'm not done yet.,School,1,work
2039,my proposal deadline is tomorrow and no one is sending me their stuff,Work,1,work
2040,my psycho ex boyfriend,Social Relationships,4,friends
2041,my quarantine,Emotional Turmoil,6,unknown
2042,my recent stress has come from school. i've been focusing on grades and homework.,School,1,work
2043,my recent stressful situation i am tired of being broke,Financial Problem,5,finance
2044,my relationship and financial situation. thinking of how i will provide for my baby.,Financial Problem,5,finance
2045,my relationship has been stressing me out.,Social Relationships,4,friends
2046,my relationship is a problem.,Social Relationships,4,friends
2047,my relationship is not going th way i wished it was,Social Relationships,4,friends
2048,my relationship with a long term friend has changed drastically and idk how to fix it,Social Relationships,4,friends
2049,My relationship with my best friend. I like him.,Social Relationships,4,friends
2050,my relationship with my boyfriend.,Social Relationships,4,friends
2051,my relationship with my girlfriend and her family is really getting to me.,Social Relationships,4,friends
2052,my relationship with my husband is strained.,Family Issues,2,family
2053,my relationship with my sister-in-law.,Social Relationships,4,friends
2054,my relationship with one of my very dear friends has not been at its best,Social Relationships,4,friends
2055,my relationship. he is always blaming me for everything and turning everything on me,Emotional Turmoil,6,unknown
2056,"my rent was due a week ago, i have not work to earn money",Financial Problem,5,finance
2057,My restaurant is closed due to COVID so no work/money for me.,Work,1,work
2058,my roommate,Social Relationships,4,friends
2059,my roommate and my budget,Other,6,unknown
2060,my roommate has been being more distant towards me and i'm not sure if he's mad at me.,Social Relationships,4,friends
2061,My roommate has really been annoying me lately.,Social Relationships,4,friends
2062,my roommate is killing my budget for household items.,Financial Problem,5,finance
2063,my roommate wants to bring a fridge but there isn't room for it.,Other,6,unknown
2064,my school project,School,1,work
2065,my school work has been the main thing stressing me out.,School,1,work
2066,My school work. :(,School,1,work
2067,My selfish co-worker is draining...,Work,1,work
2068,my significant other resents the amount of time I am at work,Social Relationships,4,friends
2069,"my sink is leaking. i don' t know what's wrong, i just replaced it",Other,6,unknown
2070,my sinuses are really hurting again.,"Health, Fatigue, or Physical Pain",3,health
2071,my sister called and is threatening to come and visit.,Family Issues,2,family
2072,My sister fell from a ladder and fractured her hip.  The hospital can't do anything;,"Health, Fatigue, or Physical Pain",3,health
2073,my sister is leaving for trucking school and i am going to be taking care of her 6 kids,Family Issues,2,family
2074,my sister is on my ass,Family Issues,2,family
2075,My sister works in a hospital and I worry she may get coronavirus,Family Issues,2,family
2076,my sister-in-law has been diagnosed with ovarian cancer,Family Issues,2,family
2077,my sister's dog has fleas and my husband is having a conniption about it.,Family Issues,2,family
2078,my skin has been breaking out and i need a regimen that will clear it up.,"Health, Fatigue, or Physical Pain",3,health
2079,my sleep patterns due to midnight shifts at work.,"Health, Fatigue, or Physical Pain",3,health
2080,my sleep schedule has been getting worse and worse.,"Health, Fatigue, or Physical Pain",3,health
2081,my sleep scheldule is kinda messed up,"Health, Fatigue, or Physical Pain",3,health
2082,my sleep. i've had terrible insomnia for months and its wearing me down.,"Health, Fatigue, or Physical Pain",3,health
2084,my son and sleep,Family Issues,2,family
2085,my son challenging every thing he is ordered to do,Family Issues,2,family
2086,my son failed his hearing test. showed hearing loss in both ear. maybe tubes again,Family Issues,2,family
2087,my son has been acting out and having aggressive behaviors,Family Issues,2,family
2088,my son is failing science class,Family Issues,2,family
2089,my son is getting ready to graduate and we're trying to get him college scholarships.,School,1,work
2090,my son is giving me so much trouble at the moment- i feel awful,Family Issues,2,family
2091,my son is not getting used with doing homework and i have to spend all afternoon on that,Family Issues,2,family
2092,my son moving into an apartment in this area.,Family Issues,2,family
2093,my son stresses me out in the morning-he refuses to concentrate on getting ready and fre,Family Issues,2,family
2094,my son will not listen today.,Family Issues,2,family
2096,my spouse had to have a biopsy done.,"Health, Fatigue, or Physical Pain",3,health
2097,my sprained ankle is still bothering me.,"Health, Fatigue, or Physical Pain",3,health
2098,my step kids show absolutely no respect,Family Issues,2,family
2099,"my stepduaghter is pregnant and she only told me, not her mom and dad!",Family Issues,2,family
2100,my stomach has been hurting and has recently gotten worse.,"Health, Fatigue, or Physical Pain",3,health
2101,my stomach hurts,"Health, Fatigue, or Physical Pain",3,health
2102,My Stress about people affected by COVID-19,Social Relationships,4,friends
2103,my stress timing is loss of many things.,Everyday Decision Making,6,unknown
2104,my stress timing is very loss many things.,Other,6,unknown
2105,my stress timing is very loss of all many things.,Other,6,unknown
2106,my stress timing is very loss of many things.,Emotional Turmoil,6,unknown
2107,my studies have been bringing me down with too much homework,School,1,work
2108,my study is to leave strees of that time,School,1,work
2109,my superiors at work are taking advantage of me,Work,1,work
2110,my supervisor currently pushes me a lot to turn in reports,Work,1,work
2111,My team at work lately has been doing whatever they want to do,Work,1,work
2112,my truck broke down last week and i didn't have the money to buy the parts for repair,Financial Problem,5,finance
2113,my truck has broken down and im not sure whats wrong with it.,Other,6,unknown
2114,my truck won't start,Other,6,unknown
2115,my uncle died and i'm worried my aunt will get super depressed without him,Emotional Turmoil,6,unknown
2116,my uncle is really sick,Family Issues,2,family
2117,My uncle yelled at me.,Family Issues,2,family
2118,my upcoming exam in accounting,School,1,work
2119,my upcoming trip to denver got cancelled and my govball tickets were cancelled!,Other,6,unknown
2120,my vacation is coming up in two weeks and i have no money saved for it.,Financial Problem,5,finance
2121,my wash machine broke. another one is $499.,Financial Problem,5,finance
2122,my water line to my toilet froze up during this cold spell.,Everyday Decision Making,6,unknown
2123,my week was so stressful  because of having financial problems.,Financial Problem,5,finance
2124,my weight gain has been stressing me out.,"Health, Fatigue, or Physical Pain",3,health
2125,my whole family has been battling the flu and strep.,"Health, Fatigue, or Physical Pain",3,health
2126,My wife has been hiding something from me and I don't know what it is.,Social Relationships,4,friends
2127,my wife just quit her job.,Family Issues,2,family
2128,my wife keeps bugging me.,Family Issues,2,family
2129,my wife left me for a younger man.,Family Issues,2,family
2130,my work and this virus going around,Work,1,work
2131,my work has been doing some upgrading.,Work,1,work
2132,my work has been stressing me lately my friend. the current project is really demanding.,Work,1,work
2133,my work is very stressful in office. do not concentration with any other work.,Work,1,work
2134,my work schedule at the office has been so hectic this days.,Work,1,work
2135,my work schedule has been brutal.,Work,1,work
2136,"my work schedule has been stressing me out lately, there is no work life balance.",Work,1,work
2137,my work schedule has changed due to the coronavirus and it is hard,Work,1,work
2138,my work situation,Work,1,work
2139,"my work, i feel disrespected, and under valued, and have been treated unappreciated.",Work,1,work
2140,my work/life balance aren't in line with each other,Work,1,work
2141,my workload and my personal wellness or hobbies just don't work out!,Work,1,work
2142,my workload is just too much for me to handle.,Work,1,work
